"Параметр","Тип данных","По дефолту",""
"server","string","-","Обязательный. Домен, на котором расположен сервер. Без https:// и прочего, не относящегося к домену. Пример: yandex.ru"
"projectId","Number","1","Произвольный ID сайта/проекта/чего-то еще. Придумывается самостоятельно. Если ничего не указывать, он сформируется автоматически на основе доменного имени. Нужен, чтобы можно было легко отличать данные одного сайта от другого."
"sessionTimeout","Number","1800","Тайм-аут сессии: сколько времени с последнего события должно пройти."
"lastCampaignExpires","Number","7776000","Период, на который запоминаются последние рекламные метки. Указывается в секундах."
"cookieDomain","String","auto","Домен, на который будет установлена основная кука отслеживания. Auto означает, что будет использоваться ваш домен, из которого будут убраны лишние поддомены."
"trackActivity","Boolean","true","Флаг автоматического отслеживания активности посетителей на сайте. Отслеживается движение мышью."
"trackClicks","Boolean","true","Автоматическое отслеживание кликов. Обрабатывает все клики и автоматически классифицирует их на внутренние и внешние."
"trackForms","Boolean","true","Автоматическое отслеживание взаимодействий с формами. Генерирует события field focus."
"allowHTTP","Boolean","false","По дефолту работает только на https. Этим параметром можете разрешить работу на http."
"","","","Специфичные настройки"
"pathPrefix","string","""","Настройка, при помощи которой можно сместить пути, используемые трекером. Крайне специфичная опция и в обычной жизни не требуется."
